wavelength,intensity1,intensity2,intensity3
435.354,1132.753,1289.109,1296.543
435.527,1200.654,1290.95,1308.284
435.701,1323.796,1250.838,1345.637
435.875,1406.756,1426.581,1486.169
436.049,1302.516,1323.911,1288.799
436.223,1257.504,1264.667,1320.754
436.396,1506.755,1328.195,1432.413
436.57,1352.927,1417.846,1343.984
436.744,1547.085,1456.293,1419.459
436.918,1413.054,1411.113,1529.671
437.091,1430.916,1434.256,1473.557
437.265,1481.694,1492.362,1501.147
437.439,1524.491,1581.303,1578.358
437.613,1520.688,1584.866,1708.704
437.786,1577.794,1605.299,1659.425
437.96,1760.638,1684.787,1748.029
438.134,1663.917,1656.708,1635.184
438.308,1709.65,1683.422,1630.975
438.481,1629.143,1584.98,1568.382
438.655,1634.682,1651.256,1752.849
438.829,1721.263,1750.298,1818.084
439.002,1633.61,1666.477,1706.677
439.176,1714.889,1810.365,1790.016
439.35,1688.615,1648.264,1657.953
439.524,1790.188,1805.003,1840.781
439.697,1894.927,1898.193,1847.655
439.871,1934.201,1837.108,1917.356
440.045,1840.814,1872.276,1881.48
440.219,1924.412,1920.051,1880.611
440.392,1953.028,1959.717,2029.045
440.566,1951.948,1936.221,1990.367
440.74,2003.445,2095.706,2090.493
440.914,1982.591,2089.006,1921.706
441.087,1940.357,2040.52,1937.759
441.261,2118.436,1980.694,2104.331
441.435,2108.809,2150.456,2144.671
441.609,2228.412,2114.1,2169.384
441.782,2055.089,2152.152,2214.894
441.956,2234.249,2173.788,2249.886
442.13,2191.668,2175.239,2453.68
442.303,2214.374,2293.763,2220.605
442.477,2378.815,2401.706,2481.546
442.651,2240.12,2249.596,2294.849
442.825,2255.83,2305.178,2447.035
442.998,2460.53,2432.982,2459.467
443.172,2506.436,2508.698,2438.123
443.346,2532.424,2629.782,2640.346
443.52,2905.793,2705.704,2793.763
443.693,2680.647,2735.283,2724.331
443.867,2652.215,2740.053,2638.246
444.041,2803.336,2812.263,2881.764
444.214,2806.765,2728.954,2718.37
444.388,2799.455,2780.244,2856.576
444.562,2916.509,2935.345,3008.409
444.736,2751.692,2819.354,2759.063
444.909,2907.701,2918.033,2971.569
445.083,2827.564,2950.314,2858.975
445.257,2791.119,2881.558,2798.485
445.43,3083.292,3069.09,3117.553
445.604,2838.15,2898.107,2894.949
445.778,3109.366,3256.692,3132.221
445.952,3036.431,3034.819,3236.508
446.125,3122.8,3203.104,3134.693
446.299,3209.54,3189.431,3231.632
446.473,3121.662,3145.55,3141.649
446.646,3310.826,3335.332,3320.572
446.82,3281.074,3198.753,3315.861
446.994,3317.564,3245.15,3296.982
447.167,3343.185,3272.988,3300.726
447.341,3527.513,3388.038,3440.246
447.515,3412.664,3426.397,3389.392
447.689,3461.723,3489.511,3387.666
447.862,3489.716,3512.056,3429.69
448.036,3438.046,3457.253,3253.838
448.21,3329.287,3359.057,3441.174
448.383,3406.45,3525.997,3547.996
448.557,3314.465,3413.768,3352.405
448.731,3368.475,3462.283,3433.747
448.904,3427.037,3470.754,3514.396
449.078,3493.046,3496.65,3464.813
449.252,3464.786,3355.469,3316.051
449.426,3437.618,3571.923,3611.779
449.599,3621.682,3637.254,3570.759
449.773,3457.882,3487.257,3498.886
449.947,3374.573,3405.058,3365.61
450.12,3310.017,3379.909,3264.096
450.294,3449.879,3570.805,3416.029
450.468,3103.595,3072.676,3081.444
450.641,3243.835,3260.122,3160.363
450.815,3438.241,3407.824,3411.37
450.989,3265.035,3273.797,3348.8
451.162,3165.515,3167.604,3311.246
451.336,3040.394,3075.533,3016.009
451.51,2980.181,3071.837,3004.979
451.683,3003.211,2988.425,3037.31
451.857,3085.114,3207.975,3181.319
452.031,3058.896,3028.611,2952.224
452.204,3036.383,3112.893,2971.125
452.378,2940.635,2776.88,2804.014
452.552,2977.445,2917.883,2901.773
452.725,2784.961,2714.259,2752.89
452.899,2752.336,2670.957,2737.649
453.073,2722.033,2687.738,2664.547
453.246,2649.526,2676.312,2683.233
453.42,2599.481,2612.043,2724.24
453.594,2524.912,2541.643,2549.569
453.768,2479.309,2581.64,2593.499
453.941,2483.759,2514.986,2466.148
454.115,2439.286,2377.221,2479.017
454.289,2293.94,2416.669,2314.419
454.462,2304.948,2262.848,2235.835
454.636,2341.065,2371.226,2402.693
454.81,2169.558,2300.857,2258.976
454.983,2224.983,2176.16,2147.463
455.157,2119.011,2086.648,2118.802
455.331,1998.734,1973.709,1974.229
455.504,2061.167,2087.739,2080.939
455.678,2064.506,2153.319,2016.69
455.851,1976.19,2017.237,2091.248
456.025,1857.907,1980.415,1876.151
456.199,1910.105,1990.874,1993.45
456.372,1859.553,1820.072,1817.261
456.546,1886.66,1915.735,1916.272
456.72,1852.187,1891.616,1814.482
456.893,1812.678,1794.075,1754.888
457.067,1799.055,1732.675,1877.875
457.241,1830.857,1804.444,1733.392
457.414,1866.612,1820.027,1857.099
457.588,1656.087,1707.361,1762.569
457.762,1604.702,1703.995,1748.671
457.935,1790.682,1758.278,1809.328
458.109,1719.449,1689.362,1603.181
458.283,1691.126,1607.134,1683.764
