wavelength,intensity1,intensity2,intensity3
405.802,246.847,305.234,253.163
405.976,113.617,168.366,102.009
406.15,137.637,100.852,100.511
406.324,281.837,239.555,169.89
406.498,166.981,147.724,180.066
406.672,269.579,220.141,206.605
406.846,193.252,201.643,214.513
407.019,156.89,225.434,202.937
407.193,144.078,142.139,63.149
407.367,172.829,136.313,142.574
407.541,152.502,142.416,167.183
407.715,196.627,153.011,100.814
407.889,169.203,157.005,185.022
408.063,266.984,276.618,252.588
408.237,109.536,61.532,103.803
408.411,179.582,124.412,144.199
408.585,265.024,195.749,179.532
408.758,218.236,157.025,156.711
408.932,78.141,250.259,187.386
409.106,134.889,61.709,139.583
409.28,242.644,231.17,102.006
409.454,142.667,199.816,156.55
409.628,170.49,181.807,172.164
409.802,131.915,153.428,256.776
409.976,212.249,214.581,224.922
410.149,149.026,238.92,206.66
410.323,198.246,221.949,228.066
410.497,182.582,127.147,141.177
410.671,281.143,230.088,233.109
410.845,207.249,228.201,241.866
411.019,215.045,296.994,282.749
411.193,113.25,188.95,151.262
411.367,41.754,99.517,52.45
411.541,258.413,237.681,214.459
411.714,273.703,303.084,216.742
411.888,168.118,101.347,86.911
412.062,187.412,192.157,198.957
412.236,308.623,308.567,306.911
412.41,172.669,111.069,135.348
412.584,191.966,146.194,224.096
412.758,187.625,166.195,241.803
412.932,216.949,323.053,249.894
413.105,232.892,228.068,214.553
413.279,204.195,258.054,185.075
413.453,197.074,122.754,221.783
413.627,75.302,195.572,140.637
413.801,238.705,171.68,155.104
413.975,246.693,101.821,179.779
414.149,211.4,157.853,219.092
414.322,299.661,247.117,268.186
414.496,162.93,253.238,275.993
414.67,180.37,161.321,154.635
414.844,218.118,217.011,210.304
415.018,187.96,157.893,154.442
415.192,190.083,198.057,226.34
415.366,262.246,179.012,135.386
415.539,214.369,159.782,181.858
415.713,115.378,70.369,102.9
415.887,170.81,207.698,133.461
416.061,132.978,72.21,124.354
416.235,275.664,251.978,142.686
416.409,193.371,161.595,124.884
416.583,242.036,228.207,109.732
416.756,302.844,342.664,232.393
416.93,178.254,196.835,177.838
417.104,231.086,279.643,231.84
417.278,193.194,191.073,194.875
417.452,260.297,278.473,211.649
417.626,213.548,201.39,204.081
417.8,250.001,296.381,203.193
417.973,232.726,260.515,301.935
418.147,206.305,220.864,273.111
418.321,233.559,185.857,261.137
418.495,221.541,229.604,196.829
418.669,180.679,235.778,253.49
418.843,240.543,329.855,180.925
419.016,192.884,224.687,200.958
419.19,262.289,260.221,326.6
419.364,314.543,277.556,358.889
419.538,166.516,215.925,229.253
419.712,261.951,260.887,234.11
419.886,204.802,184.313,221.791
420.06,370.918,338.767,368.371
420.233,264.285,254.086,300.449
420.407,314.874,326.531,272.971
420.581,284.363,207.624,230.98
420.755,412.272,308.961,285.772
420.929,175.953,204.661,202.175
421.103,236.216,229.068,192.208
421.276,207.984,176.567,219.376
421.45,270.997,346.38,270.62
421.624,268.865,317.483,251.246
421.798,249.736,187.186,200.745
421.972,315.392,308.691,294.109
422.145,336.667,282.907,219.735
422.319,318.633,255.803,253.319
422.493,293.887,279.174,239.731
422.667,266.989,267.904,206.267
422.841,275.882,263.333,288.985
423.015,287.421,201.725,330.852
423.188,313.025,312.978,390.614
423.362,336.339,335.269,298.072
423.536,355.521,355.478,381.802
423.71,368.511,306.923,374.593
423.884,325.04,302.687,289.754
424.057,377.931,406.812,303.326
424.231,336.459,354.009,324.358
424.405,350.12,295.261,317.253
424.579,375.689,370.903,384.814
424.753,442.117,349.995,367.433
424.927,364.903,412.681,403.571
425.1,359.78,401.288,425.124
425.274,431.449,414.098,437.17
425.448,411.916,319.282,385.639
425.622,409.344,464.115,443.084
425.796,423.096,450.188,438.796
425.969,370.428,382.706,328.367
426.143,434.341,429.135,422.6
426.317,333.804,447.022,435.761
426.491,370.657,406.29,379.689
426.665,477.94,488.458,488.105
426.838,525.784,498.867,415.152
427.012,507.524,445.948,436.046
427.186,547.857,515.261,456.115
427.36,486.396,533.907,578.291
427.534,452.765,460.284,523.3
427.707,405.583,533.403,503.051
427.881,442.93,410.185,502.999
428.055,591.885,587.48,598.006
428.229,548.928,459.455,559.845
428.403,573.777,559.271,553.762
428.576,490.351,604.474,497.916
428.75,538.629,567.422,590.366
428.924,601.802,661.888,697.633
429.098,666.795,650.424,542.162
429.272,584.655,532.754,503.624
