lambda,T_skim_2ml,T_half_full,T_full
474.239,72.467,0,0
474.41,72.125,0,0
474.582,72.176,0,0
474.753,72.075,0,0
474.924,71.984,0,0
475.096,71.773,0,0
475.267,72.156,0,0
475.439,72.164,0,0
475.61,72.528,0,0
475.781,72.627,0,0
475.953,72.504,0,0
476.124,72.613,0,0
476.296,72.65,0,0
476.467,72.312,0,0
476.639,72.449,0,0
476.81,72.634,0,0
476.981,72.77,0,0
477.153,72.968,0,0
477.324,73.052,0,0
477.496,73.134,0,0
477.667,72.801,0,0
477.839,73.045,0,0
478.01,72.885,0,0
478.182,72.842,0,0
478.353,72.868,0,0
478.524,72.496,0,0
478.696,72.443,0,0
478.867,72.253,0,0
479.039,72.259,0,0
479.21,72.622,0,0
479.382,72.776,0,0
479.553,72.578,0,0
479.725,72.236,0,0
479.896,72.243,0,0
480.068,72.307,0,0
480.239,72.51,0,0
480.41,72.756,0,0
480.582,72.798,0,0
480.753,73.074,0,0
480.925,73.21,0,0
481.096,73.264,0,0
481.268,73.461,0,0
481.439,73.702,0,0
481.611,73.555,0,0
481.782,73.614,0,0
481.954,73.831,0,0
482.125,73.878,0,0
482.297,74.095,0,0
482.468,74.23,0,0
482.64,74.044,0,0
482.811,74.141,0,0
482.983,74.262,0,0
483.154,74.418,0,0
483.326,74.409,0,0
483.497,74.095,0,0
483.669,74.037,0,0
483.84,73.919,0,0
484.012,74.121,0,0
484.183,74.01,0,0
484.355,73.925,0,0
484.526,73.787,0,0
484.698,73.636,0,0
484.869,73.554,0,0
485.041,73.745,0,0
485.212,73.954,0,0
485.384,74.201,0,0
485.555,74.339,0,0
485.727,74.356,0,0
485.898,74.828,0,0
486.07,75.163,0,0
486.241,75.304,0,0
486.413,75.445,0,0
486.584,75.43,0,0
486.756,75.378,0,0
486.927,75.518,0,0
487.099,75.7,0,0
487.271,75.794,0,0
487.442,75.885,0,0
487.614,75.962,0,0
487.785,76.061,0,0
487.957,75.944,0,0
488.128,75.776,0,0
488.3,75.607,0,0
488.471,75.604,0,0
488.643,75.383,0,0
488.814,75.369,0,0
488.986,75.282,0,0
489.158,75.412,0,0
489.329,75.355,0,0
489.501,75.463,0,0
489.672,75.432,0,0
489.844,75.576,0,0
490.015,75.646,0,0
490.187,75.731,0,0
490.358,75.566,0,0
490.53,75.595,0,0
490.702,75.668,0,0
490.873,75.63,0,0
491.045,75.999,0,0
491.216,76.291,0,0
491.388,76.355,0,0
491.559,76.58,0,0
491.731,76.612,0,0
491.903,76.601,0,0
492.074,76.681,0,0
492.246,76.685,0,0
492.417,76.87,0,0
492.589,76.92,0,0
492.76,76.827,0,0
492.932,76.812,0,0
493.104,76.894,0,0
493.275,76.916,0,0
493.447,76.765,0,0
493.618,76.772,0,0
493.79,76.516,0,0
493.962,76.539,0,0
494.133,76.454,0,0
494.305,76.432,0,0
494.476,76.198,0,0
494.648,76.167,0,0
494.82,76.112,0,0
494.991,75.997,0,0
495.163,76.103,0,0
495.334,76.165,0,0
495.506,76.338,0,0
495.678,76.648,0,0
495.849,76.94,0,0
496.021,77.153,0,0
496.193,77.365,0,0
496.364,77.434,0,0
496.536,77.616,0,0
496.707,77.626,0,0
496.879,77.675,0,0
497.051,77.775,0,0
497.222,77.938,0,0
497.394,77.939,0,0
497.566,77.895,0,0
497.737,77.96,0,0
497.909,77.952,0,0
498.08,78.014,0,0
498.252,77.932,0,0
498.424,77.749,0,0
498.595,77.682,0,0
498.767,77.768,0,0
498.939,77.77,0,0
499.11,77.851,0,0
499.282,77.907,0,0
499.454,78.121,0,0
499.625,78.24,0,0
499.797,78.362,0,0
499.969,78.548,0,0
500.14,78.48,0,0
500.312,78.415,0,0
